This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201011  ,-1.42  ,-2.08  ,-2.07  ,-4.42  ,-4.82  ,-4.32
201012  ,10.48  ,10.34   ,9.61   ,8.63   ,8.35   ,7.42
201101   ,1.61   ,2.27   ,1.64   ,3.60   ,2.00   ,1.46
201102   ,2.94   ,2.60   ,3.44   ,4.13   ,2.70   ,3.99
201103  ,-1.20  ,-0.59  ,-0.60  ,-3.61  ,-1.03  ,-1.02
201104   ,3.65   ,3.75   ,5.01   ,4.80   ,6.42   ,6.01
201105  ,-3.72  ,-2.48  ,-1.76  ,-3.98  ,-2.35  ,-2.39
201106  ,-2.84  ,-0.48  ,-1.37  ,-2.52  ,-0.69  ,-1.33
201107   ,0.61   ,0.60   ,1.45  ,-1.61  ,-1.76  ,-0.84
201108  ,-8.26  ,-7.03  ,-6.20 ,-10.80  ,-8.91  ,-7.12
201109 ,-11.38  ,-8.69  ,-9.71 ,-10.74 ,-10.74  ,-9.61
201110   ,4.84   ,3.93   ,5.45   ,8.62   ,9.50   ,9.26
201111  ,-5.27  ,-4.51  ,-4.70  ,-6.37  ,-4.65  ,-3.40
201112  ,-1.72  ,-0.55  ,-0.94  ,-1.89  ,-0.93  ,-1.47
201201   ,8.29   ,7.14   ,6.49   ,8.38   ,5.53   ,4.76
201202   ,5.21   ,4.76   ,4.77   ,6.29   ,5.74   ,4.44
201203  ,-1.28   ,1.20   ,1.50  ,-1.50   ,0.68  ,-0.79
201204  ,-2.03  ,-0.43   ,0.70  ,-3.56  ,-1.42  ,-0.31
201205 ,-11.72  ,-9.81  ,-9.32 ,-12.38 ,-11.44 ,-10.54
201206   ,2.24   ,3.20   ,3.28   ,7.52   ,6.00   ,5.53
201207  ,-0.95  ,-0.30   ,0.54  ,-0.51   ,1.34   ,1.41
201208   ,2.51   ,2.43   ,2.05   ,4.18   ,2.80   ,2.56
201209   ,4.58   ,4.00   ,4.16   ,4.79   ,3.09   ,2.62
201210  ,-0.28  ,-0.09   ,0.80   ,1.47   ,1.10   ,0.16
201211  ,-0.59   ,0.60   ,0.12   ,2.39   ,1.82   ,1.99
201212   ,4.76   ,4.36   ,3.50   ,4.22   ,3.17   ,2.51
201301   ,5.71   ,6.04   ,6.01   ,6.77   ,4.90   ,4.49
201302  ,-0.63   ,0.37   ,0.37  ,-2.11  ,-0.39  ,-1.03
201303   ,1.05   ,1.64   ,3.97  ,-0.32   ,1.05   ,1.05
201304   ,2.83   ,4.21   ,4.00   ,6.18   ,3.68   ,4.34
201305  ,-2.70  ,-0.64  ,-2.86  ,-0.49  ,-1.95  ,-1.44
201306  ,-4.59  ,-2.95  ,-3.19  ,-4.16  ,-3.77  ,-3.42
201307   ,4.83   ,4.75   ,5.90   ,6.55   ,5.34   ,5.22
201308   ,0.09   ,0.77   ,0.57  ,-0.34  ,-1.81  ,-1.05
201309   ,8.39   ,7.85   ,7.99   ,7.52   ,6.75   ,6.79
201310   ,1.65   ,3.03   ,2.55   ,3.95   ,3.25   ,3.05
201311  ,-0.42   ,0.61   ,0.40   ,0.93   ,0.70   ,0.48
201312   ,1.78   ,1.93   ,2.18   ,1.51   ,1.63   ,1.89
201401   ,0.99   ,0.13   ,0.48  ,-2.41  ,-4.30  ,-3.65
201402   ,3.59   ,3.99   ,3.43   ,4.78   ,5.43   ,6.25
201403   ,0.01   ,0.55   ,0.70  ,-1.32   ,0.14  ,-0.16
201404  ,-0.97  ,-0.10  ,-0.39  ,-0.06   ,2.04   ,1.38
201405   ,0.58   ,0.94   ,1.27   ,0.89   ,1.89   ,1.45
