This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199101  -7.93  -5.31  -4.42  -0.93  -0.32  -0.99
199102  28.48  27.43  21.47  19.53  17.07  18.34
199103  -1.11  -1.05   0.65  -4.07  -2.93  -2.45
199104   3.28   3.83   6.54   1.48   2.73   2.87
199105  -3.50  -1.92  -1.35  -2.02  -1.49  -1.81
199106  -7.40  -6.02  -3.60  -8.76  -6.70  -5.36
199107  -0.94  -1.16  -1.76   0.12   1.30   1.42
199108 -11.36 -11.12 -10.87  -9.08  -8.35  -9.41
199109  10.22  10.88  10.15  12.98  12.08  11.96
199110   8.50   6.89   4.91   5.53   3.87   3.10
199111  -9.45  -9.77  -9.95 -10.40  -8.84  -9.06
199112   4.21   3.66   3.61   4.38   3.57   3.41
199201  -6.71  -7.13  -6.52  -4.71  -4.42  -2.74
199202  -3.74  -3.75  -4.08  -4.94  -5.59  -5.83
199203 -12.98 -10.81 -11.82 -11.90 -10.57 -10.36
199204 -11.38 -10.62  -8.44 -10.12  -8.23  -4.55
199205  14.58  14.82  12.67  13.10  11.25   9.17
199206  -9.72  -7.99  -8.10 -10.49  -8.83  -7.28
199207  -8.88  -7.46  -7.54  -6.01  -4.86  -5.43
199208  11.44  10.05   9.68  18.36  14.71  13.83
199209   3.26   1.88   1.40  -2.69  -1.62  -2.13
199210  -8.53  -5.93  -6.88  -6.91  -5.67  -4.59
199211  -1.18  -1.54  -1.63   2.83   1.31   1.45
199212   1.35   2.53   3.61  -1.71  -1.29  -0.25
199301  -2.80  -2.49  -2.13  -1.18  -0.62  -1.49
199302   7.36   6.61   9.26   4.80   4.31   3.79
199303  16.50  16.32  17.38  15.27  15.22  18.25
199304  18.30  18.04  19.77  14.58  16.71  19.74
199305  20.94  19.35  20.31   6.61   6.32   6.91
199306  -5.91  -6.32  -6.60  -5.55  -4.43  -4.61
199307   1.58   2.35   2.22   6.23   5.81   6.29
199308   2.52   2.22   1.61   2.48   2.48   1.75
199309  -5.66  -3.82  -5.57  -3.18  -3.88  -4.85
199310  -9.55  -9.85  -9.21  -6.16  -4.51  -4.50
199311 -16.68 -16.34 -16.68 -15.90 -15.04 -18.51
199312   0.32   1.93   2.51   0.90   2.48   3.06
199401  18.67  17.98  19.94  16.50  16.19  20.72
199402   4.04   4.75   6.03   3.27   4.16   5.26
