This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201302   0.21  -0.19   0.40   1.02   0.96   1.21
201303   3.84   4.24   5.50   3.88   3.17   3.79
201304  -1.35  -0.75  -1.59   1.05   1.26   2.04
201305   3.98   4.17   4.08   4.63   1.12   2.15
201306  -0.93  -0.35  -1.09  -1.85  -0.90  -2.19
201307   7.71   7.09   7.13   6.67   5.47   4.81
201308  -2.27  -2.84  -1.82  -3.04  -2.72  -1.94
201309   4.83   6.15   5.94   3.87   3.98   2.95
201310   1.38   4.08   3.71   3.35   4.66   4.49
201311   3.55   3.22   4.05   2.96   1.88   3.48
201312   2.35   2.03   2.08   3.53   2.39   2.41
201401  -0.95  -4.42  -4.70  -2.89  -2.40  -5.15
201402   5.08   5.04   4.18   4.06   4.94   4.79
201403  -1.30   1.03   1.26   0.44   0.51   1.19
201404  -3.92  -1.55  -1.03  -1.06   0.20   2.09
201405   0.21   0.61  -0.35   1.73   2.24   2.24
201406   6.56   5.25   4.12   3.40   2.88   1.66
201407  -5.89  -5.57  -5.58  -2.15  -2.04  -0.86
201408   4.44   4.11   5.32   4.41   3.38   4.53
201409  -6.61  -6.60  -4.48  -2.18  -2.16  -1.83
201410   3.43   5.13   2.74   0.81   2.03   2.08
201411  -0.09  -0.45   0.48   2.02   1.23   4.08
201412   2.35   1.07   0.71   0.19   0.33  -1.54
201501  -4.97  -4.97  -3.88  -5.32  -3.47  -2.12
201502   7.07   6.69   6.42   7.41   5.56   5.96
201503   0.46   1.72   1.30  -1.18  -1.04  -2.02
201504  -0.41  -0.96  -1.28   1.96   0.73   1.55
201505   2.19   0.72   0.59   1.85   0.61   0.77
201506   0.44   1.04   0.30  -1.16  -2.21  -2.12
201507  -3.68  -3.84  -2.87   0.88   1.60   1.95
201508  -5.76  -4.71  -5.80  -6.33  -5.95  -5.79
201509  -6.16  -5.43  -5.82  -4.89  -2.79  -2.13
201510   5.27   6.20   6.05   7.78   8.18   7.17
201511   3.89   1.00   1.06   1.18   0.09  -0.13
201512  -4.96  -5.73  -5.89  -2.56  -1.62  -2.55
201601 -10.38  -6.24  -7.49  -8.28  -4.12  -5.22
201602   0.74   2.36   2.07  -1.27  -0.01   1.20
201603   8.19   9.11   8.45   6.94   6.83   6.89
201604   5.18   2.80   1.60   2.81   1.27  -0.82
201605   0.97   0.51   1.01   1.50   1.52   1.47
201606   0.46   0.27  -0.75  -1.62   0.26   0.27
201607   5.94   4.44   6.78   3.36   3.57   4.30
201608   2.15   1.33   1.33   1.15   0.08   0.03
201609   2.93   0.96  -0.55   0.41  -0.20   0.58
201610  -6.13  -3.35  -3.87  -0.80  -1.35  -2.64
201611  10.22  10.19   8.72   7.41   2.44   3.67
201612   1.74   2.65   2.57   1.97   2.09   1.21
201701   1.92   0.52   0.33   1.52   2.25   2.66
201702   1.94   0.80   0.86   2.60   3.16   4.18
201703   0.00   0.19   1.26  -1.18   0.45   0.82
201704  -0.23   0.59   2.12   0.15   1.12   1.37
201705  -2.22  -1.37  -1.43  -1.12   1.35   2.77
201706   4.37   2.92   2.42   2.94   0.75  -0.48
201707   1.26   1.24   0.71   2.71   2.20   1.89
201708  -1.19  -1.67  -1.29  -1.48   0.59   1.19
201709   5.86   5.71   5.47   3.85   2.04   1.58
201710  -0.34   1.29   1.05   1.43   2.28   2.98
201711   1.73   3.02   4.15   1.67   2.30   4.63
201712   1.25  -0.14   2.20   1.62   0.63   1.81
201801   3.01   2.47   2.14   5.44   5.33   6.31
201802  -3.76  -5.06  -4.07  -5.07  -3.79  -3.03
201803   0.60   0.78   0.82  -1.62  -2.43  -2.76
201804   2.07   0.55  -0.25   1.53   0.38   0.03
201805   6.44   5.10   1.94   1.44   2.33   3.20
201806  -0.11   0.58   2.17   0.77  -0.01   0.86
201807   0.67   2.12   1.92   3.10   3.03   4.10
201808   4.07   3.41   1.65   1.63   2.13   5.19
201809  -1.91  -2.01  -2.04  -0.06   0.14   0.81
201810 -11.21  -9.88 -11.44  -8.19  -6.72  -7.49
201811  -0.08   1.15   0.45   2.29   2.35   1.33
201812 -11.20 -10.86 -12.37  -9.75  -8.86  -8.99
201901  11.64  10.33  12.35   9.72   9.33   7.30
201902   5.45   4.83   4.74   3.23   2.89   3.86
201903  -1.98  -2.72  -2.31  -0.18   0.93   2.82
201904   2.07   4.34   4.46   4.54   3.82   4.45
201905  -7.19  -8.05  -8.66  -7.65  -5.87  -6.70
201906   6.99   8.18   8.36   8.09   6.17   7.63
201907   0.35   0.47   0.15   1.02   1.30   1.78
201908  -5.81  -4.87  -6.40  -3.68  -2.84  -0.27
201909   0.59   3.87   3.92   1.81   1.99   1.31
201910   2.02   1.31   2.95   1.58   1.59   2.77
201911   5.40   2.74   2.88   4.59   3.66   3.77
201912   4.19   3.80   3.06   2.90   2.01   3.65
202001  -3.96  -3.58  -4.40   1.00  -1.52   1.34
202002  -7.77  -9.66 -10.04  -8.40  -8.38  -7.79
202003 -21.18 -23.82 -28.47 -17.45 -14.24  -9.81
202004  16.20  14.99  19.66  12.90  12.63  13.59
202005   6.61   6.95   8.83   5.51   5.41   5.08
202006   3.57   3.17   3.75   1.90  -0.17   4.52



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007  -2.75  -3.90  -3.81  -3.34  -1.75  -1.69
199008 -10.52 -11.11 -12.86  -9.49 -10.20 -10.70
199009  -8.80  -8.01 -10.04  -8.90  -7.35  -6.00
199010  -6.15  -5.21  -4.45  -5.24  -3.30  -1.35
199011   4.94   8.38   6.92   9.17   8.98   7.40
199012   1.45   3.99   3.73   3.16   4.66   5.20
199101  10.22   9.71  10.50   6.20   6.22   6.70
199102  15.96  12.04  12.34  10.76   8.47   8.54
199103   7.36   6.99   6.93   3.01   2.49   3.47
199104   2.46   0.23   1.14   0.57   0.71   0.30
199105   4.23   4.14   5.14   5.09   5.11   4.16
199106  -3.12  -2.07  -3.16  -4.78  -4.10  -3.40
199107   3.24   1.88   4.59   3.94   3.91   5.16
199108   2.82   2.54   3.50   2.31   2.79   2.85
199109   1.04   0.17   0.93  -1.82  -1.03  -1.16
