This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199312   1.80   2.34   1.12   2.80   3.40   4.21
199401   6.21   4.11   4.45   3.97   2.13   2.96
199402  -0.02  -0.16  -0.64  -1.36  -1.79  -1.17
199403  -3.05  -3.65  -5.26  -4.32  -3.90  -4.93
199404  -0.43   0.53  -2.10   1.12   0.50  -0.32
199405   0.21   0.48  -1.13   0.03   0.03  -0.12
199406  -2.86  -1.67  -3.58  -1.85  -2.72  -4.05
199407   1.68   1.41   1.09   3.46   3.15   2.82
199408   4.02   3.64   4.34   4.69   4.14   7.61
199409   2.29   1.31   1.80  -0.90  -1.73  -0.96
199410  -0.08  -0.37   0.00   0.17   0.39   1.31
199411  -3.81  -3.45  -5.08  -4.63  -4.12  -4.45
199412  -0.44   0.08  -1.95   1.68   1.89   1.66
199501   3.13   2.10   2.13   0.32   1.23  -0.60
199502   2.96   3.15   3.28   4.44   4.34   4.93
199503   2.18   1.05   3.23   3.54   1.70   3.06
199504   4.50   2.78   2.77   2.18   1.94   1.27
199505   2.76   1.88   2.01   2.87   2.64   2.46
199506   5.22   4.13   5.96   2.13   2.45   4.67
199507   5.97   4.48   5.96   4.93   4.42   7.56
199508   6.12   3.44   2.61   1.38   1.59   0.84
199509   3.56   2.67   2.28   2.64   1.90   2.05
199510  -5.06  -3.39  -6.02  -2.11  -2.16  -2.57
199511   0.96   1.84   2.15   5.02   4.69   4.00
199512   2.46   2.23   0.22   1.51   1.73  -0.77
199601   5.61   1.53   2.30   2.31   2.14   0.45
199602   5.11   3.40   3.90   1.31   2.18   3.79
