This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
201801   ,9.32   ,5.72   ,7.61  ,10.63
201802  ,-4.63  ,-3.92  ,-4.33  ,-4.87
201803  ,-2.37  ,-0.02  ,-2.07  ,-2.15
201804  ,-0.63  ,-1.41   ,0.86  ,-1.08
201805  ,-0.42  ,-2.31  ,-3.63  ,-5.29
201806  ,-3.32  ,-3.66  ,-4.87  ,-5.73
201807  ,-0.31   ,0.89   ,3.60   ,3.50
201808  ,-3.49  ,-2.33  ,-2.28  ,-2.44
201809  ,-2.52  ,-2.61  ,-0.25   ,1.15
201810 ,-12.01  ,-9.14  ,-6.83  ,-8.16
201811   ,6.86   ,4.70   ,3.30   ,3.94
201812  ,-3.40  ,-2.19  ,-1.00  ,-2.62
201901   ,8.72   ,7.23   ,7.31   ,7.26
201902   ,1.57  ,-0.19   ,0.11   ,0.55
201903   ,1.44   ,1.63  ,-0.04   ,1.54
201904   ,1.76   ,2.68   ,1.28   ,0.80
201905  ,-8.44  ,-7.02  ,-4.25  ,-5.90
201906   ,5.87   ,6.31   ,4.80   ,5.46
201907  ,-1.52   ,0.18  ,-2.96  ,-2.65
201908  ,-1.55  ,-4.01  ,-5.57  ,-6.12
201909  ,-0.20   ,3.49   ,1.75   ,3.04
201910   ,5.20   ,3.59   ,3.82   ,3.53
201911   ,1.68  ,-1.03   ,0.08  ,-1.71
201912   ,6.01   ,7.90   ,5.82   ,8.38
202001  ,-3.00  ,-2.56  ,-6.23  ,-6.88
202002  ,-3.34  ,-4.71  ,-6.50  ,-7.82
202003 ,-12.78 ,-14.83 ,-19.56 ,-21.55
202004   ,9.54  ,10.37   ,9.69  ,11.04
202005   ,6.32   ,0.89   ,0.01   ,0.47
202006   ,9.47   ,8.05   ,5.73   ,4.87



  Average Equal Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199107  ,-4.96  ,-3.75  ,-1.56  ,-0.32
199108  ,-5.98  ,-3.90  ,-3.31  ,-3.35
199109  ,-1.83  ,-3.79  ,-2.02   ,0.19
199110   ,0.93  ,-1.26  ,-0.88  ,-0.23
199111  ,-1.06   ,1.38   ,1.03   ,2.24
199112   ,2.51   ,3.92   ,5.71   ,8.88
199201   ,8.53   ,4.59   ,1.51   ,4.65
199202   ,1.09   ,1.79   ,1.97   ,2.13
199203  ,-1.13   ,0.26  ,-0.73   ,1.50
199204  ,-2.79   ,0.47   ,1.60  ,-0.03
199205   ,1.01  ,-2.29  ,-0.07  ,-0.37
199206   ,3.07   ,4.67   ,1.76   ,2.36
199207  ,-0.34  ,-0.60   ,1.71   ,0.60
199208  ,-1.32   ,0.27  ,-2.21  ,-1.39
199209  ,-0.45   ,0.66   ,1.51   ,2.30
199210   ,4.15   ,3.50   ,4.46   ,4.41
