This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198405,  -5.4404,  -3.7862,  -6.0687,  -5.9802,  -5.0275,  -4.3445
198406,   2.1775,   3.0239,   3.0349,   1.1092,   3.4027,   3.2788
198407,  -5.8087,  -2.0906,  -4.7833,  -4.1329,  -1.1277,  -0.8190
198408,  10.6381,  10.0809,  12.9145,  12.9864,   9.9421,  12.3394
198409,   0.4757,   1.6815,  -2.0200,   0.9429,   0.4916,  -1.6205
198410,  -2.4786,   0.1152,  -1.3014,  -0.8970,   1.1034,   0.2503
198411,  -1.7029,  -0.1001,  -3.4312,  -0.0606,  -0.4098,  -2.4849
198412,   0.5617,   2.2793,   2.5757,   2.2325,   2.5562,   2.7469
198501,  10.7821,   9.8023,  13.7835,   7.0813,   6.8172,  10.7963
198502,   2.5209,   2.6001,   2.5597,   2.7472,   1.8745,   0.6392
198503,  -1.1656,  -0.1368,  -2.7707,   2.1243,   0.4294,  -2.1524
198504,  -0.8120,   0.8727,  -1.5433,  -0.0609,  -0.2030,  -0.7588
198505,   2.7835,   3.8276,   4.6021,   5.5891,   6.1233,   6.5502
198506,   1.2712,   2.6337,   2.1493,   1.0564,   2.0305,   1.3668
198507,   2.6874,   2.1448,   2.5002,  -0.5795,  -0.9613,   0.2187
198508,  -0.3581,   0.6357,  -2.1063,   0.4760,  -0.2992,  -1.5436
198509,  -5.5845,  -4.2113,  -6.5542,  -2.4176,  -3.3849,  -4.6665
198510,   2.5907,   4.1113,   3.0315,   3.4434,   5.3192,   5.2278
