This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201409  -5.92  -5.07  -6.34  -3.14  -3.91  -3.42
201410  -2.73  -2.86  -5.78  -0.81  -2.64  -4.14
201411   1.41   0.63   0.53   3.12   3.46   0.13
201412  -0.60  -1.47  -3.23  -3.05  -3.63  -5.21
201501  -1.36  -1.82  -2.31   2.23   0.86  -3.78
201502   7.10   6.90   7.43   4.48   5.91   7.98
201503  -2.80  -2.38  -2.86  -1.57  -2.62  -2.36
201504   7.23   6.33   6.71   3.93   4.57   5.24
201505   2.48   1.79  -0.32   0.85  -0.31  -1.53
201506  -0.78  -1.04  -1.38  -3.73  -2.67  -2.86
201507   2.58   2.13   0.31   4.07   2.38   1.02
201508  -2.35  -2.76  -2.99  -6.07  -5.75  -7.41
201509  -2.35  -3.15  -4.35  -2.50  -2.94  -7.76
201510   4.14   4.01   2.53   6.29   6.92   6.37
201511   0.92  -1.22  -3.26  -0.81  -1.51  -2.24
201512   1.74   2.23   0.49  -1.87  -1.85  -3.13
201601  -8.28  -6.92  -6.52  -4.93  -4.84  -9.67
201602  -0.82  -0.27  -0.13  -2.20  -1.25  -2.13
201603   6.96   8.68   9.08   5.91   7.53   6.15
201604   1.32   1.20   3.38   0.87   1.42   5.53
201605   2.24   1.44  -0.74   0.74  -0.37  -2.02
201606  -8.84  -7.02  -6.02  -2.07  -4.50  -8.16
201607   6.29   5.38   5.95   3.73   4.78   4.50
201608   2.04   2.64   2.16  -1.15   0.59   2.57
201609   2.28   1.20   1.91   0.42   1.70   0.51
201610  -5.33  -4.45  -1.38  -6.72  -4.16   2.05
201611  -2.34  -1.27  -1.61  -4.11  -2.76  -1.01
201612   3.43   3.92   4.57   3.57   4.45   6.40
201701   4.43   4.71   4.95   2.46   2.66   2.88
201702   0.86   1.32   0.15   2.65   1.67  -1.85
201703   2.45   3.66   3.25   4.34   4.40   4.53
201704   6.79   7.28   5.25   4.33   6.00   3.27
201705   4.94   5.48   4.84   5.88   4.94   4.39
201706  -0.10   0.87   1.50  -1.98  -0.88   0.49
201707   3.66   3.92   5.02   1.52   3.33   5.36
201708   0.38  -0.28   0.43   0.87   0.43  -0.59
201709   3.43   2.87   2.05   1.73   2.93   4.04
201710   0.05  -0.38  -0.26   0.53   1.15   0.60
201711  -1.03  -0.17   0.72   0.06  -0.30   0.88
201712   2.90   2.68   3.26   1.16   1.23   1.81
201801   6.94   5.99   6.09   4.11   5.36   7.16
201802  -3.41  -4.23  -4.82  -5.28  -5.48  -5.37
201803  -1.45  -0.76  -0.92   0.38   0.17  -2.02
201804   1.17   1.82   1.98   1.48   2.06   3.67
201805   0.58  -1.42  -3.51  -0.32  -1.55  -6.18
201806  -1.03  -1.84  -1.74   0.64  -0.95  -1.77
201807   0.79   1.16   1.37   3.33   2.18   3.57
201808  -1.48  -1.49  -2.13   0.11  -3.29  -4.52
201809  -1.62  -1.44  -0.16  -0.86  -0.35   2.34
201810 -11.13  -9.87  -8.70  -8.40  -8.31  -7.87
