This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199005,   6.13,   5.84,   7.87,   7.91,   9.13,   9.40
199006,   1.31,   0.51,   0.26,  -2.19,  -0.65,  -0.17
199007,  -3.48,  -3.34,  -5.43,   1.34,  -0.86,  -2.64
199008, -12.32, -11.74, -15.06,  -7.65,  -9.36, -10.69
199009,  -8.63,  -7.95, -10.82,  -3.27,  -4.19,  -8.39
199010,  -7.95,  -4.54,  -6.50,  -2.05,   0.36,  -2.38
199011,   4.40,   5.21,   9.12,   4.32,   5.69,   9.35
199012,   1.89,   3.92,   3.58,   1.87,   2.12,   4.34
199101,   8.74,   6.64,   9.48,   0.72,   3.96,   8.33
199102,  12.14,   9.50,  11.44,   6.33,   6.59,   7.56
199103,   6.90,   4.18,   7.66,   1.75,   2.47,   3.08
199104,   0.54,   0.92,   0.06,   0.99,  -0.46,   0.32
199105,   3.87,   3.52,   4.41,   0.94,   3.48,   5.56
199106,  -5.33,  -2.78,  -5.27,  -3.98,  -4.65,  -5.23
199107,   2.98,   2.22,   4.59,   4.06,   3.93,   5.52
199108,   3.83,   2.87,   4.10,   2.21,   1.36,   3.31
199109,   0.08,  -0.08,   1.10,  -0.83,  -1.16,  -2.13
199110,   2.22,   1.49,   3.33,   1.44,   1.51,   1.20
199111,  -4.32,  -4.12,  -5.34,  -3.42,  -5.49,  -2.44
199112,   7.00,   7.37,   9.10,   9.58,   9.02,  13.81
199201,  11.57,   7.47,   6.93,   0.27,  -2.35,  -1.24
199202,   4.19,   3.00,   2.05,   2.15,   0.82,   0.49
199203,  -1.67,  -1.36,  -5.04,  -2.17,  -2.09,  -2.67
199204,  -2.87,  -1.55,  -5.13,   2.34,   3.87,   0.40
199205,   1.10,   1.13,  -0.16,  -0.02,   0.15,   0.59
199206,  -4.55,  -2.86,  -5.47,  -1.55,  -1.32,  -2.73
199207,   2.56,   3.53,   2.98,   3.28,   3.85,   4.45
