This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19640826,  -0.09,  -0.09,  -0.19,  -0.36,  -0.06,  -0.21
19640827,   0.23,   0.26,   0.37,   0.66,   0.52,   0.53
19640828,   0.33,   0.25,   0.34,   0.19,   0.27,   0.69
19640831,   0.03,   0.18,   0.04,   0.00,  -0.23,  -0.24
19640901,   0.23,   0.58,   0.45,   0.77,   0.37,   0.51
19640902,   0.35,   0.46,   0.58,   0.07,   0.16,   0.27
19640903,   0.18,  -0.02,   0.00,   0.23,   0.30,   0.28
19640904,   0.43,   0.04,   0.22,   0.24,   0.18,   0.28
19640908,   0.21,   0.21,   0.14,   0.16,   0.17,   0.11
19640909,   0.18,   0.32,   0.16,   0.31,   0.23,   0.12
19640910,   0.14,   0.14,  -0.04,   0.36,  -0.04,   0.25
19640911,   0.24,   0.33,   0.18,   0.92,   0.31,   0.05
19640914,  -0.22,  -0.04,  -0.24,  -0.21,  -0.10,  -0.70
19640915,  -0.22,  -0.24,  -0.10,  -0.41,  -0.26,   0.03
19640916,   0.33,   0.20,   0.24,  -0.09,   0.22,   0.81
19640917,   0.52,   0.24,   0.25,   0.61,   0.56,   0.86
19640918,  -0.27,  -0.08,  -0.41,  -0.30,  -0.28,  -0.55
19640921,   0.41,   0.50,   0.58,   0.52,   0.34,   0.59
19640922,  -0.11,   0.26,   0.20,   0.12,   0.08,  -0.10
19640923,   0.21,   0.25,  -0.16,  -0.07,  -0.02,   0.20
19640924,   0.08,  -0.17,   0.25,   0.16,   0.19,   0.01
19640925,   0.42,   0.11,   0.26,  -0.10,   0.16,   0.55
19640928,   0.11,   0.15,   0.05,   0.04,   0.06,   0.15
19640929,   0.17,  -0.17,   0.02,   0.32,  -0.16,   0.16
19640930,   0.34,   0.00,  -0.09,  -0.10,   0.04,  -0.26
19641001,  -0.06,  -0.24,   0.10,  -0.23,  -0.14,  -0.06
19641002,   0.04,  -0.02,   0.06,  -0.04,   0.41,   0.18
19641005,   0.42,   0.30,   0.31,   0.61,   0.46,   0.34
19641006,   0.09,   0.04,  -0.21,   0.07,   0.15,  -0.38
19641007,  -0.03,  -0.08,  -0.05,   0.10,  -0.10,   0.06
19641008,   0.33,   0.21,   0.29,  -0.17,   0.20,   0.67
19641009,   0.32,   0.37,   0.30,   0.16,   0.10,   0.31
19641012,   0.32,   0.31,   0.37,   0.24,   0.08,  -0.06
19641013,  -0.09,   0.06,  -0.16,   0.00,  -0.23,  -0.61
19641014,   0.01,  -0.20,  -0.02,   0.08,  -0.18,  -0.36
19641015,  -1.16,  -0.95,  -1.40,  -0.70,  -0.59,  -0.73
19641016,   1.31,   1.18,   0.98,   0.83,   0.55,   0.93
19641019,   0.48,   0.56,   0.43,   0.34,   0.12,  -0.10
19641020,   0.21,   0.35,   0.50,   0.40,   0.23,   0.24
19641021,   0.05,  -0.19,   0.02,   0.08,  -0.09,  -0.12
19641022,   0.04,  -0.07,  -0.02,  -0.43,  -0.07,  -0.16
19641023,  -0.07,   0.19,   0.40,   0.14,   0.30,   0.09
19641026,   0.17,   0.22,  -0.04,  -0.17,  -0.14,  -0.47
19641027,   0.06,   0.00,  -0.12,  -0.35,  -0.02,   0.21
19641028,  -0.54,  -0.49,  -0.70,  -0.56,  -0.27,  -0.26
19641029,   0.02,  -0.09,   0.13,  -0.09,   0.09,   0.10
19641030,   0.16,   0.22,   0.36,   0.04,   0.21,   0.21
19641102,   0.14,   0.19,   0.37,   0.32,   0.55,   0.43
