This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197409,  -11.19,   -9.99,   -9.00,  -12.32,  -11.82,  -10.97,  -11.76,  -11.20,   -8.45,   -9.16,   -8.86,  -13.22,  -11.15,  -11.03,  -12.67
197410,   14.91,   18.51,   19.42,   19.87,   17.20,   13.71,   17.81,   17.88,   19.15,   16.40,   23.07,   20.80,   18.35,   18.33,   15.48
197411,   -4.41,   -4.28,   -1.37,   -4.17,   -6.28,   -4.82,   -3.57,   -5.58,   -2.79,   -1.42,   -1.31,   -4.15,   -4.18,   -5.52,   -7.43
197412,   -0.87,   -4.00,   -4.65,   -4.57,   -8.61,   -1.16,   -0.41,   -4.00,   -4.00,   -4.46,   -4.87,   -4.50,   -4.64,   -5.89,  -12.27
197501,   10.90,   16.63,   15.24,   21.61,   29.33,   10.04,   12.23,   14.12,   20.75,   12.71,   17.80,   21.42,   21.82,   27.89,   31.37
197502,    6.08,    5.57,    6.12,    6.47,    5.67,    3.87,    8.89,    4.91,    6.58,    4.66,    8.22,    4.82,    8.82,    7.56,    2.74
197503,    1.58,    2.83,    5.79,    6.95,   10.21,    1.47,    1.71,    2.99,    2.57,    5.58,    6.07,    6.85,    7.08,    9.67,   11.17
197504,    4.37,    4.31,    5.31,    6.34,    4.17,    4.00,    5.00,    3.98,    5.02,    6.27,    3.75,    6.15,    6.54,    6.13,    1.42
197505,    4.71,    6.27,    6.29,    8.37,    8.92,    4.44,    5.21,    5.67,    7.10,    4.49,    8.40,    8.28,    8.48,    8.46,    9.65
197506,    4.59,    6.11,    6.22,    6.00,    6.79,    4.21,    5.43,    5.58,    6.72,    5.89,    6.76,    5.29,    7.07,    7.06,    6.42
